especie,luminosidad,humedad,temperatura,estado_salud
Orquídea (Orchidaceae),556.17,55.29,22.24,High Stress
Orquídea (Orchidaceae),596.14,63.95,21.71,High Stress
Orquídea (Orchidaceae),591.12,67.84,21.18,High Stress
Orquídea (Orchidaceae),241.41,58.19,22.59,High Stress
Orquídea (Orchidaceae),444.49,63.77,28.93,High Stress
Orquídea (Orchidaceae),496.23,46.39,24.36,High Stress
Orquídea (Orchidaceae),454.64,56.91,23.02,High Stress
Orquídea (Orchidaceae),455.7,56.33,20.2,Moderate Stress
Orquídea (Orchidaceae),635.06,47.54,25.47,High Stress
Orquídea (Orchidaceae),393.25,65.62,27.64,High Stress
Orquídea (Orchidaceae),482.25,56.82,25.93,Moderate Stress
Orquídea (Orchidaceae),763.54,58.53,23.99,Healthy
Orquídea (Orchidaceae),436.37,57.75,19.0,Moderate Stress
Orquídea (Orchidaceae),724.15,47.51,19.74,Moderate Stress
Orquídea (Orchidaceae),561.12,45.88,26.49,Moderate Stress
Orquídea (Orchidaceae),515.2,52.07,27.3,Moderate Stress
Orquídea (Orchidaceae),800.73,45.21,19.26,Moderate Stress
Orquídea (Orchidaceae),423.14,40.84,23.63,High Stress
Orquídea (Orchidaceae),203.5,61.67,29.39,Moderate Stress
Orquídea (Orchidaceae),395.19,40.67,22.37,Moderate Stress
Orquídea (Orchidaceae),735.68,63.7,28.42,Healthy
Orquídea (Orchidaceae),472.78,47.26,20.53,Healthy
Orquídea (Orchidaceae),427.27,62.83,29.19,Healthy
Orquídea (Orchidaceae),319.49,50.56,24.29,Healthy
Orquídea (Orchidaceae),867.7,63.68,25.55,Healthy
Orquídea (Orchidaceae),923.23,42.02,24.81,Moderate Stress
Orquídea (Orchidaceae),677.07,40.26,26.28,High Stress
Orquídea (Orchidaceae),339.88,44.47,19.03,Healthy
Orquídea (Orchidaceae),524.93,63.93,25.18,High Stress
Orquídea (Orchidaceae),508.25,42.41,21.95,High Stress
Orquídea (Orchidaceae),867.13,59.99,18.89,High Stress
Orquídea (Orchidaceae),607.14,69.69,21.65,Healthy
Orquídea (Orchidaceae),227.57,53.79,18.28,Healthy
Orquídea (Orchidaceae),302.88,51.54,22.06,High Stress
Orquídea (Orchidaceae),297.62,50.5,22.24,Healthy
Orquídea (Orchidaceae),577.37,66.15,27.42,Moderate Stress
Orquídea (Orchidaceae),222.83,66.98,29.59,High Stress
Orquídea (Orchidaceae),560.06,43.61,21.53,High Stress
Orquídea (Orchidaceae),735.85,50.63,24.78,High Stress
Orquídea (Orchidaceae),576.36,67.05,22.86,High Stress
Orquídea (Orchidaceae),547.14,44.81,18.09,High Stress
Orquídea (Orchidaceae),711.34,68.14,29.99,Healthy
Orquídea (Orchidaceae),441.96,56.05,20.15,High Stress
Orquídea (Orchidaceae),557.6,68.02,24.99,Moderate Stress
Orquídea (Orchidaceae),305.34,54.47,23.87,Healthy
Orquídea (Orchidaceae),599.1,53.38,29.97,Moderate Stress
Orquídea (Orchidaceae),333.83,61.67,28.83,Moderate Stress
Orquídea (Orchidaceae),327.49,47.97,28.11,High Stress
Orquídea (Orchidaceae),547.96,44.44,18.92,High Stress
Orquídea (Orchidaceae),443.66,67.35,22.56,Moderate Stress
Orquídea (Orchidaceae),361.56,69.49,19.47,Moderate Stress
Orquídea (Orchidaceae),509.36,41.14,26.73,High Stress
Orquídea (Orchidaceae),584.95,52.44,23.64,High Stress
Orquídea (Orchidaceae),251.47,68.75,20.38,Moderate Stress
Orquídea (Orchidaceae),997.72,51.04,20.78,High Stress
Orquídea (Orchidaceae),841.87,60.22,25.47,High Stress
Orquídea (Orchidaceae),827.29,42.27,28.44,Moderate Stress
Orquídea (Orchidaceae),466.47,47.19,27.29,Moderate Stress
Orquídea (Orchidaceae),446.74,58.64,18.7,Moderate Stress
Orquídea (Orchidaceae),711.55,51.71,22.68,Moderate Stress
Orquídea (Orchidaceae),757.16,46.6,18.3,High Stress
Orquídea (Orchidaceae),540.1,63.87,28.33,Healthy
Orquídea (Orchidaceae),811.95,59.18,29.13,High Stress
Orquídea (Orchidaceae),970.47,57.71,19.08,High Stress
Orquídea (Orchidaceae),430.35,66.88,22.16,Moderate Stress
Orquídea (Orchidaceae),361.88,62.77,21.62,High Stress
Orquídea (Orchidaceae),383.25,62.26,21.27,High Stress
Orquídea (Orchidaceae),971.31,53.18,27.31,High Stress
Orquídea (Orchidaceae),392.79,69.89,23.93,High Stress
Orquídea (Orchidaceae),342.63,43.27,26.01,High Stress
Orquídea (Orchidaceae),282.42,53.94,21.2,High Stress
Orquídea (Orchidaceae),901.87,48.64,21.61,Moderate Stress
Orquídea (Orchidaceae),458.44,55.95,26.87,Moderate Stress
